,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3
BalanceReserve_yy,,,,,,-100.00,-100.00,,,,,,,-6219.64,-428.57,100.00,100.00,100.00,100.00,,,,,292.71,458.20,4038.10,,1723.24,681.24,205.65,,199.76,196.16,-1.35,5.78,-91.74,-91.74,-95.92,-94.41,-70.01,-69.94,-38.33,-58.03
BalanceReserve_sy,,,,,,0.04,,,,,,,,26.66,2.40,11.60,12.27,9.63,14.17,,,,,18.06,16.30,10.98,,4.04,4.04,,,,0.05,,0.02,,0.09,,0.02,,,,
BalanceReserve_qq,,,,-100.00,,,,,,,-1125.00,-261.08,-12.11,-27.44,-2.46,100.00,,,,,-27.08,31.15,100.00,,136.22,656.98,-100.00,,1.22,196.16,,,,-1.35,7.23,-92.19,,-51.26,46.93,-58.12,0.23,,
BalanceReserve_sq,,,,,,,,,,,-100.00,,0.02,13.14,-100.00,0.93,,,,,0.15,3.28,-100.00,,,6.74,-100.00,,,0.14,,,,0.01,,,,-0.02,,,,,
BalanceNonshareCapital,,,,,,,,0,,,320000,258000,184000,121000,29000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_yy,,,,,,,,,,,,,,,-90.94,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_sy,,,,,,,,,,,,,,,-90.94,13.47,10.37,8.56,-100.00,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_qq,,,,,,,,,,,,-19.38,-28.68,-34.24,-76.03,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_sq,,,,,,,,,,,,-19.38,4.61,,-100.00,-54.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,46000,43000,43000,4156000,32000,34000,35000,37000,40000,44000,44000,43000,46000,48000,48000,95000,309000,311000,,282000,158000,259000,,234000,7006000,6761000,,6839000,37978000,32113000,36089000,30172000,25492000,21379000,20536000,21747000,21258000,3165000,3667000,275000,275000,275000,275000
BalanceNoncurrentLiabilities_yy,,,,,-30.43,-20.93,-18.60,-99.11,25.00,29.41,25.71,16.22,15.00,9.09,9.09,120.93,571.74,547.92,-100.00,196.84,-48.87,-16.72,,-17.02,4334.18,2510.42,,2822.65,442.08,374.97,,341.18,-32.88,-33.43,-43.10,-27.92,-16.61,-85.20,-82.14,-98.74,-98.71,-91.31,-92.50
BalanceNoncurrentLiabilities_sy,,,,,-10.79,-8.46,-15.54,27.51,23.33,14.17,13.43,5.71,18.62,32.36,13.20,36.34,31.34,19.50,-24.04,23.91,9.24,-0.04,,2.13,2.84,7.68,,-2.83,4.74,-5.14,,-4.67,-4.46,-6.18,-7.95,-10.17,-8.78,3.78,-2.92,6.41,0.08,1.38,0.28
BalanceNoncurrentLiabilities_qq,,-6.52,,9565.12,-99.23,6.25,2.94,5.71,8.11,10.00,,-2.27,6.98,4.35,,97.92,225.26,0.65,-100.00,,-43.97,63.92,-100.00,,2894.02,-3.50,-100.00,,455.32,-15.44,12.38,-16.40,-15.51,-16.13,-3.94,5.90,-2.25,-85.11,15.86,-92.51,0.13,,
BalanceNoncurrentLiabilities_sq,,-1.17,,-2.80,,2.12,-100.00,2.61,-3.64,2.74,,-13.78,4.35,2.48,,4.41,-2.29,,-100.00,,-0.05,-4.41,-100.00,,1.46,1.98,-100.00,,-1.48,-2.74,-5.88,-2.67,-1.19,-3.38,0.78,-7.92,0.57,-0.49,-0.63,-2.59,-0.34,,
BalanceNoncurrentTradeLiabilities,,,,4122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,-27.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,-33.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,0,0,,0,4222000,4034000,,3999000,35130000,31169000,35228000,29284000,24665000,20619000,19782000,18731000,18257000,189000,668000,,,,
BalanceNoncurrentBorrowings_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.07,672.66,,632.28,-29.79,-33.85,-43.85,-36.04,-25.98,-99.08,-96.62,-100.00,-100.00,-100.00,-100.00
BalanceNoncurrentBorrowings_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.32,-13.01,,-27.31,-29.79,-21.66,-15.73,-36.68,-8.51,-14.28,-11.92,10.59,-39.82,-0.81,-23.65
BalanceNoncurrentBorrowings_qq,,,,,,,,,,,,,,,,,,,,,,,,,,-4.45,-100.00,,778.47,-11.28,13.02,-16.87,-15.77,-16.40,-4.06,-5.31,-2.53,-98.96,253.44,-100.00,,,
BalanceNoncurrentBorrowings_sq,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,-100.00,,-1.76,-6.25,-10.82,-16.87,-3.98,-8.67,-4.20,-22.16,4.21,-7.10,-0.70,-42.71,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,46000,43000,43000,34000,32000,34000,35000,37000,40000,44000,44000,43000,46000,48000,48000,95000,309000,311000,,282000,158000,259000,,234000,2784000,2727000,,2840000,2848000,944000,861000,888000,827000,760000,754000,3016000,3001000,2976000,2999000,275000,275000,275000,275000
BalanceNoncurrentOtherLiabilities_yy,,,,,-30.43,-20.93,-18.60,8.82,25.00,29.41,25.71,16.22,15.00,9.09,9.09,120.93,571.74,547.92,-100.00,196.84,-48.87,-16.72,,-17.02,1662.03,952.90,,1113.68,2.30,-65.38,,-68.73,-70.96,-19.49,-12.43,239.64,262.88,291.58,297.75,-90.89,-90.84,-90.76,-90.83
BalanceNoncurrentOtherLiabilities_sy,,,,,-9.20,-4.52,-18.60,8.82,15.76,22.55,25.71,14.45,13.14,14.10,14.63,45.68,35.41,14.43,-39.86,12.54,12.76,11.86,,21.34,20.10,11.56,,10.99,11.68,10.80,,7.07,-1.60,6.17,1.20,3.93,3.14,5.78,3.20,-0.85,3.59,2.01,6.00
BalanceNoncurrentOtherLiabilities_qq,,-6.52,,-20.93,-5.88,6.25,2.94,5.71,8.11,10.00,,-2.27,6.98,4.35,,97.92,225.26,0.65,-100.00,,-43.97,63.92,-100.00,,1089.74,-2.05,-100.00,,0.28,-66.85,-8.79,3.14,-6.87,-8.10,-0.79,300.00,-0.50,-0.83,0.77,-90.84,0.13,,
BalanceNoncurrentOtherLiabilities_sq,,-6.52,,-1.37,0.51,-0.82,-100.00,5.19,-3.64,1.98,,-4.05,1.76,5.32,,4.91,-1.81,-0.47,-100.00,,-0.05,0.82,-100.00,,2.35,2.64,-100.00,,0.28,-4.04,-19.67,0.91,-0.44,-0.91,0.86,-6.54,-0.50,0.50,0.28,-4.37,,,
BalanceCurrentLiabilities,9853000,12781000,11629000,11182000,9647000,10777000,5278000,8087000,9728000,11306000,9833000,14191000,27301000,34055000,27868000,25597000,26883000,27229000,,24313000,19512000,33767000,,39118000,44543000,42875000,,51195000,47415000,66237000,60982000,54480000,48784000,51157000,21724000,30977000,32367000,60844000,60897000,16229000,16225000,15699000,15660000
BalanceCurrentLiabilities_yy,,,,,-2.09,-15.68,-54.61,-27.68,0.84,4.91,86.30,75.48,180.64,201.21,183.41,80.37,-1.53,-20.04,-100.00,-5.02,-27.42,24.01,,60.89,128.29,26.97,,30.87,6.45,54.49,,6.42,2.89,-22.77,-64.38,-43.14,-33.65,18.94,180.32,-47.61,-49.87,-74.20,-74.28
BalanceCurrentLiabilities_sy,,,,,-1.28,3.34,20.38,22.84,34.95,36.13,26.66,22.01,21.30,32.44,34.28,30.56,11.78,-2.40,-19.69,-2.24,-6.54,3.16,,24.32,24.82,28.51,,24.36,12.58,7.72,,-4.75,-13.96,-15.12,-11.30,-14.06,-0.22,-0.69,-3.82,5.63,2.37,-0.87,2.10
BalanceCurrentLiabilities_qq,,29.72,-9.01,-3.84,-13.73,11.71,-51.03,53.22,20.29,16.22,-13.03,44.32,92.38,24.74,-18.17,-8.15,5.02,1.29,-100.00,,-19.75,73.06,-100.00,,13.87,-3.74,-100.00,,-7.38,39.70,-7.93,-10.66,-10.46,4.86,-57.53,42.59,4.49,87.98,0.09,-73.35,-0.03,-3.24,-0.25
BalanceCurrentLiabilities_sq,,20.62,-100.00,-0.14,-9.45,23.27,-100.00,22.21,,7.39,-100.00,-4.18,0.27,13.64,-100.00,-2.60,-10.82,6.21,-100.00,,-17.49,12.08,-100.00,,-8.15,16.14,-100.00,,-12.86,15.20,-6.02,-5.95,-15.26,5.28,4.09,1.94,-5.19,5.68,2.52,1.48,-5.24,5.06,2.69
BalanceCurrentTradePayablesv,9332000,11861000,10702000,10437000,8932000,9812000,4439000,5669000,8236000,9656000,8250000,9211000,22685000,21597000,23398000,17664000,18340000,17839000,,17089000,14577000,23727000,,27915000,31342000,32980000,,27094000,26921000,40754000,38086000,25850000,26049000,27814000,4205000,4539000,4720000,5253000,4685000,3587000,3586000,3587000,3558000
BalanceCurrentTradePayablesv_yy,,,,,-4.29,-17.28,-58.52,-45.68,-7.79,-1.59,85.85,62.48,175.44,123.66,183.61,91.77,-19.15,-17.40,-100.00,-3.26,-20.52,33.01,,63.35,115.01,39.00,,-2.94,-14.11,23.57,,-4.59,-3.24,-31.75,-88.96,-82.44,-81.88,-81.11,11.41,-20.98,-24.03,-31.72,-24.06
BalanceCurrentTradePayablesv_sy,,,,,-7.69,10.04,8.33,30.82,54.09,27.69,40.26,22.90,10.50,20.86,41.54,17.77,12.15,-11.77,-21.31,7.33,-12.41,13.54,,36.30,25.47,31.57,,30.21,17.84,9.24,,-9.48,-10.06,-21.10,-15.28,-15.76,-3.73,2.21,-3.39,-8.46,3.04,-1.94,6.33
BalanceCurrentTradePayablesv_qq,,27.10,-9.77,-2.48,-14.42,9.85,-54.76,27.71,45.28,17.24,-14.56,11.65,146.28,-4.80,8.34,-24.51,3.83,-2.73,-100.00,,-14.70,62.77,-100.00,,12.28,5.23,-100.00,,-0.64,51.38,-6.55,-32.13,0.77,6.78,-84.88,7.94,3.99,11.29,-10.81,-23.44,-0.02,0.03,-0.81
BalanceCurrentTradePayablesv_sq,,17.49,-100.00,-2.48,-21.18,26.62,-100.00,24.02,-5.16,5.64,-100.00,-3.86,-8.59,15.36,-100.00,-9.76,-17.72,16.51,-100.00,,-24.96,23.99,-100.00,,-17.67,21.19,-100.00,,-25.90,21.24,-10.98,-2.70,-26.23,3.77,5.46,3.55,-8.91,8.00,3.90,1.57,-19.20,10.01,6.48
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,0,0,,0,900000,2850000,,4051000,4915000,562000,,13862000,14966000,19526000,13113000,14322000,12091000,15086000,12898000,3239000,12759000,30787000,31459000,,,,
BalanceCurrentBorrowings_yy,,,,,,,,,,,,,,,,,,,,,,,,,446.11,-80.28,,242.19,204.50,3374.38,,3.32,-19.21,-22.74,-1.64,-77.38,5.52,104.08,143.91,-100.00,-100.00,-100.00,-100.00
BalanceCurrentBorrowings_sy,,,,,,,,,,,,,,,,,,,,,,,,,48.36,16.76,,112.60,60.97,11.45,,-14.53,-17.24,-15.40,-14.56,-19.63,-12.30,-13.64,-9.64,-36.49,-2.20,-4.00,-7.51
BalanceCurrentBorrowings_qq,,,,,,,,,,,,,,,,,,,,,,216.67,-100.00,,21.33,-88.57,-100.00,,7.96,30.47,-32.84,9.22,-15.58,24.77,-14.50,-74.89,293.92,141.30,2.18,-100.00,,,
BalanceCurrentBorrowings_sq,,,,,,,,,,,,,,,,,,,,,,2.28,-100.00,,17.51,8.28,-100.00,,4.57,9.30,-1.47,-6.44,-0.98,0.50,-0.42,-7.24,-1.57,-0.69,1.15,0.12,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,468000,458000,429000,552000,545000,707000,528000,1907000,819000,774000,727000,1810000,1233000,7222000,2008000,5676000,4062000,4175000,,2864000,977000,1762000,,1593000,2345000,1826000,,2358000,3235000,3819000,3886000,8990000,8327000,8049000,4621000,23199000,14887000,24804000,24753000,12642000,12639000,12112000,12102000
BalanceCurrentOtherLiabilities_yy,,,,,16.45,54.37,23.08,245.47,50.28,9.48,37.69,-5.09,50.55,833.07,176.20,213.59,229.44,-42.19,-100.00,-49.54,-75.95,-57.80,,-44.38,140.02,3.63,,48.02,37.95,109.15,,281.26,157.40,110.76,18.91,158.05,78.78,208.16,435.66,-45.51,-15.10,-51.17,-51.11
BalanceCurrentOtherLiabilities_sy,,,,,-3.81,-25.21,-29.57,27.64,34.18,18.04,-11.58,62.73,32.63,34.00,19.80,66.90,50.70,-11.02,-64.92,-21.48,-6.57,-12.54,,2.13,10.55,8.37,,15.19,12.87,22.45,,9.76,5.60,4.94,7.76,-0.64,2.92,3.42,7.91,24.00,0.74,8.38,11.37
BalanceCurrentOtherLiabilities_qq,,-2.14,-6.33,28.67,-1.27,29.72,-25.32,261.17,-57.05,-5.49,-6.07,148.97,-31.88,485.73,-72.20,182.67,-28.44,2.78,-100.00,,-65.89,80.35,-100.00,,47.21,-22.13,-100.00,,37.19,18.05,1.75,131.34,-7.37,-3.34,-42.59,402.03,-35.83,66.62,-0.21,-48.93,-0.03,-4.17,-0.08
BalanceCurrentOtherLiabilities_sq,,0.17,-100.00,-3.61,-2.68,24.21,-100.00,2.88,,3.35,-100.00,148.97,7.67,23.13,-100.00,16.06,-10.90,-10.27,-100.00,,-3.76,-0.73,-100.00,,-10.67,3.62,-100.00,,-6.17,2.64,-3.72,1.90,-9.70,-0.87,0.13,-1.82,-5.15,5.22,-0.21,5.34,-1.92,2.35,-0.64
BalanceReckoning,53000,462000,498000,193000,170000,258000,311000,511000,673000,876000,856000,3170000,3383000,5236000,2462000,2257000,4481000,5215000,,4360000,3058000,5428000,,5559000,5941000,7507000,,7881000,2293000,2138000,5897000,5318000,2317000,208000,,0,1000,,,0,,,
BalanceReckoning_yy,,,,,220.75,-44.16,-37.55,164.77,295.88,239.53,175.24,520.35,402.67,497.72,187.62,-28.80,32.46,-0.40,-100.00,93.18,-31.76,4.08,,27.50,94.28,38.30,,41.77,-61.40,-71.52,,-32.52,1.05,-90.27,-100.00,-100.00,-99.96,-100.00,,,-100.00,,
BalanceReckoning_sy,,,,,19.60,-34.34,-37.55,103.39,20.00,114.07,79.84,61.23,123.58,53.78,44.47,-7.14,-9.20,22.46,-51.95,4.65,-7.73,-21.61,,-11.24,13.62,-5.16,,-9.21,-8.97,-21.99,,-8.58,-13.63,-13.83,-13.70,-13.36,-0.10,8.43,,,4.75,,
BalanceReckoning_qq,,771.70,7.79,-61.24,-11.92,51.76,20.54,64.31,31.70,30.16,-2.28,270.33,6.72,54.77,-52.98,-8.33,98.54,16.38,-100.00,,-29.86,77.50,-100.00,,6.87,26.36,-100.00,,-70.90,-6.76,175.82,-9.82,-56.43,-91.02,-100.00,,,-100.00,,,-100.00,,
BalanceReckoning_sq,,47.64,-100.00,-60.00,-1.75,-3.63,-100.00,29.52,-8.29,24.98,-100.00,29.42,12.80,-3.70,-100.00,-0.46,-18.57,13.36,-100.00,,-9.02,32.22,-100.00,,0.43,0.58,-100.00,,-2.08,-6.06,-3.14,-7.49,-1.58,-3.50,6.87,,,,,,-28.29,,
BalanceTotalEquityAndLiabilities,8000000,11606000,9789000,8186000,4533000,4397000,6623000,21788000,23781000,26208000,26245000,29744000,44253000,52393000,47191000,71172000,75810000,76914000,0,74895000,70375000,86312000,0,95917000,114996000,114757000,0,124381000,152575000,167186000,164402000,102384000,88358000,82938000,63883000,57302000,56757000,56584000,56435000,1564000,1543000,1015000,923000
BalanceTotalEquityAndLiabilities_yy,,,,,-43.34,-62.11,-32.34,166.16,424.62,496.04,296.27,36.52,86.09,99.91,79.81,139.28,71.31,46.80,-100.00,5.23,-7.17,12.22,,28.07,63.40,32.96,,29.68,32.68,45.69,,-17.69,-42.09,-50.39,-61.14,-44.03,-35.76,-31.78,-11.66,-97.27,-97.28,-98.21,-98.36
BalanceTotalEquityAndLiabilities_sy,,,,,-4.03,8.33,-0.40,27.77,53.67,51.51,52.03,36.52,37.22,39.13,15.07,26.44,15.94,8.22,-0.02,5.23,6.44,7.15,,17.14,13.23,24.90,,11.22,9.66,3.34,,-5.34,-8.24,-9.25,-6.07,-3.60,2.62,-0.12,-0.07,0.90,-3.06,-0.67,-0.19
BalanceTotalEquityAndLiabilities_qq,,45.08,-15.66,-16.38,-44.62,-3.00,50.63,228.97,9.15,10.21,0.14,13.33,48.78,18.39,-9.93,50.82,6.52,1.46,-100.00,,-6.04,22.65,-100.00,,19.89,-0.21,-100.00,,22.67,9.58,-1.67,-37.72,-13.70,-6.13,-22.97,-10.30,-0.95,-0.30,-0.26,-97.23,-1.31,-34.22,-9.06
BalanceTotalEquityAndLiabilities_sq,,5.32,-100.00,-0.50,-7.31,13.87,-100.00,22.18,0.61,8.24,-100.00,-0.54,3.78,8.50,-100.00,5.99,-4.86,5.59,-100.00,,-4.80,4.80,-100.00,,-3.50,4.57,-100.00,,-4.46,2.62,-1.58,-6.54,-5.56,0.44,2.86,-0.54,-1.85,-0.25,0.41,0.10,-2.54,1.14,2.56
CashflowOperatingCashflow,-19000,68000,-370000,1267000,-1060000,-1793000,-5580000,-2266000,-708000,-297000,633000,1420000,5052000,9904000,-1049000,2879000,705000,-26000,-502000,-2292000,-152000,-2006000,9463000,-5621000,6481000,6165000,2293000,-8826000,-19232000,6299000,11146000,-2431000,2204000,-4204000,550000,1538000,1401000,770000,-873000,-383000,71000,-539000,-95000
CashflowOperatingCashflow_yy,,,,,-5478.95,-2736.76,-1408.11,-278.85,33.21,83.44,111.34,162.67,813.56,3434.68,-265.72,102.75,-86.05,-100.26,52.14,-179.61,-121.56,-7615.38,1985.06,-145.24,4363.82,407.33,-75.77,-57.02,-396.74,2.17,386.09,72.46,111.46,-166.74,-95.07,163.27,-36.43,118.32,-258.73,-124.90,-94.93,-170.00,89.12
CashflowOperatingCashflow_sy,,,,,55.25,-88.73,-15.15,7.54,-66.09,83.44,6.09,23.49,7.92,-44.17,-36.52,-1.15,0.31,62.76,57.25,41.53,-73.93,-53.26,63.39,33.13,-120.95,-93.74,-29.91,13.53,23.69,20.92,57.19,-17.42,40.19,-42.15,26.72,-12.34,40.03,28.24,-18.30,-6.09,10.36,-5.42,59.12
CashflowOperatingCashflow_qq,,457.89,-644.12,442.43,-183.66,-69.15,-211.21,59.39,68.76,58.05,313.13,124.33,255.77,96.04,-110.59,374.45,-75.51,-103.69,-1830.77,-356.57,93.37,-1219.74,571.73,-159.40,215.30,-4.88,-62.81,-484.91,-117.90,132.75,76.95,-121.81,190.66,-290.74,113.08,179.64,-8.91,-45.04,-213.38,56.14,118.54,-859.15,82.37
CashflowOperatingCashflow_sq,,104.38,-66.73,56.54,-116.56,11.07,62.52,79.07,-133.69,91.61,14.75,91.87,-125.27,-39.20,37.16,126.71,-75.51,27.73,25.20,114.63,-67.32,57.10,35.70,28.32,-167.25,64.93,53.67,161.35,-122.76,71.98,69.61,93.84,-98.77,31.72,132.20,54.30,-66.17,11.06,-6.98,84.95,-114.86,17.22,82.62
CashflowAmortization,46000,55000,51000,244000,50000,48000,57000,57000,49000,57000,65000,81000,87000,103000,113000,132000,111000,116000,122000,119000,117000,102000,113000,123000,133000,153000,142000,167000,180000,180000,185000,181000,173000,138000,62000,51000,50000,41000,33000,-37000,,,
CashflowAmortization_yy,,,,,8.70,-12.73,11.76,-76.64,-2.00,18.75,14.04,42.11,77.55,80.70,73.85,62.96,27.59,12.62,7.96,-9.85,5.41,-12.07,-7.38,3.36,13.68,50.00,25.66,35.77,35.34,17.65,30.28,8.38,-3.89,-23.33,-66.49,-71.82,-71.10,-70.29,-46.77,-172.08,-100.00,-100.00,-100.00
CashflowAmortization_sy,,,,,8.70,3.65,7.98,29.26,11.89,19.09,14.88,24.84,45.86,37.25,42.98,26.21,27.20,15.10,6.10,9.90,6.25,1.79,-1.54,2.41,3.25,18.70,13.53,3.35,-1.42,-8.99,-7.76,-7.37,-8.60,-13.43,-9.20,-7.65,-5.77,-2.44,-10.90,-0.85,3.41,3.95,5.59
CashflowAmortization_qq,,19.57,-7.27,378.43,-79.51,-4.00,18.75,,-14.04,16.33,14.04,24.62,7.41,18.39,9.71,16.81,-15.91,4.50,5.17,-2.46,-1.68,-12.82,10.78,8.85,8.13,15.04,-7.19,17.61,7.78,,2.78,-2.16,-4.42,-20.23,-55.07,-17.74,-1.96,-18.00,-19.51,-211.40,100.00,,
CashflowAmortization_sq,,1.39,0.82,1.80,-2.20,2.66,6.96,,-4.62,9.98,4.81,9.56,4.32,7.33,6.28,4.58,0.02,2.79,0.46,3.69,-2.70,-0.30,0.63,4.40,0.66,3.28,-0.51,4.28,-3.52,,-2.99,-1.08,-4.42,0.88,-0.30,-1.78,-3.97,0.38,-0.27,-0.85,-1.60,,
CashflowInvestingCashflow,-40000,352000,-15000,80000,,30000,-39000,-10957000,686000,5838000,-6329000,-396000,-2796000,3708000,3914000,-13999000,-2884000,123000,2922000,-32094000,-104000,0,-2388000,-2544000,-4081000,-1207000,-10556000,927000,18737000,-5871000,-8733000,6489000,735000,1719000,248000,-52000,0,21000,1000,45000,,,
CashflowInvestingCashflow_yy,,,,,100.00,-91.48,-160.00,-13796.25,,19360.00,-16128.21,96.39,-507.58,-36.49,161.84,-3435.10,-3.15,-96.68,-25.34,-129.26,96.39,-100.00,-181.72,92.07,-3824.04,,-342.04,136.44,559.13,-386.41,17.27,600.00,-96.08,129.28,102.84,-100.80,-100.00,-98.78,-99.60,185.83,,-100.00,-100.00
CashflowInvestingCashflow_sy,,,,,-95.08,-92.96,-99.97,-60.52,,-59.52,-145.46,-127.15,17.12,-17.95,47.20,-13.20,-97.71,-31.00,29.19,16.38,45.29,-7.42,-100.00,56.42,23.84,,80.86,-8.61,-1.10,-42.51,17.27,49.64,63.25,53.84,38.43,49.14,15.95,-48.29,-42.27,-39.24,,-53.62,-4.98
CashflowInvestingCashflow_qq,,980.00,-104.26,633.33,-100.00,,-230.00,-27994.87,106.26,751.02,-208.41,93.74,-606.06,232.62,5.56,-457.66,79.40,104.26,2275.61,-1198.36,99.68,100.00,,-6.53,-60.42,70.42,-774.57,108.78,1921.25,-131.33,-48.75,174.30,-88.67,133.88,-85.57,-120.97,100.00,,-95.24,4363.30,-100.00,,
CashflowInvestingCashflow_sq,,-71.82,-29.22,-41.93,-65.16,,-39.66,-59.57,34.00,-67.07,-48.44,34.00,43.38,8.48,5.40,-65.57,23.76,-23.16,21.00,-84.48,53.96,-17.40,,35.98,45.28,67.28,-27.06,-72.67,29.94,-47.67,-1.81,-7.65,-7.08,16.69,-43.30,72.45,-28.42,,-38.12,18.75,-76.84,,
CashflowCapex,44000,98000,15000,-78000,,,39000,628000,22000,62000,305000,1499000,145000,247000,197000,94000,126000,71000,58000,62000,19000,534000,246000,1010000,6300000,-5972000,170000,8358000,106000,323000,25000,50000,,,,53000,,11000,0,,,,
CashflowCapex_yy,,,,,-100.00,-100.00,160.00,905.13,,,682.05,138.69,559.09,298.39,-35.41,-93.73,-13.10,-71.26,-70.56,-34.04,-84.92,652.11,324.14,1529.03,33057.89,-1218.35,-30.89,727.52,-98.32,105.41,-85.29,-99.40,-100.00,-100.00,-100.00,6.00,,,,-100.00,,-100.00,
CashflowCapex_sy,,,,,41.74,31.18,156.93,90.00,,,76.06,129.04,138.78,46.27,33.39,-15.50,-5.45,28.10,-46.27,-20.28,-38.17,-9.07,-25.77,-46.09,28.69,-17.26,-29.77,-3.82,-29.17,-39.30,-22.67,-64.37,-52.67,-44.73,-20.56,-12.82,,,,-28.30,,-18.20,
CashflowCapex_qq,,122.73,-84.69,-620.00,100.00,,,1510.26,-96.50,181.82,391.94,391.48,-90.33,70.34,-20.24,-52.28,34.04,-43.65,-18.31,6.90,-69.35,2710.53,-53.93,310.57,523.76,-194.79,102.85,4816.47,-98.73,204.72,-92.26,100.00,-100.00,,,,-100.00,,-100.00,,,,
CashflowCapex_sq,,69.11,-29.78,50.89,-9.95,,,52.67,-56.21,77.96,17.10,23.98,-40.31,4.78,62.01,2.69,-37.21,4.26,27.06,68.51,-50.00,49.24,17.23,32.45,-27.62,6.78,-26.40,22.66,-29.32,21.64,-32.73,29.04,-33.38,,,,-28.79,,-25.06,,,,
CashflowFinancingCashflow,-6000,0,-18000,-350000,-15000,1786000,6665000,12733000,-16000,-17000,314000,-4000,-5000,-4000,-2000,26000000,0,600000,0,-600000,826000,1908000,2296000,-1193000,217000,-4748000,7864000,4991000,519000,-474000,-3126000,-4458000,-2528000,2640000,-1130000,-1617000,-945000,-394000,684000,,,,
