,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CashflowFinancingCashflow_sy,,,,,-69.85,,10.92,4.67,45.20,,57.83,52.92,60.33,15.54,-37.04,-64.98,-75.63,-24.61,-32.62,15.07,29.30,11.04,-85.92,-87.87,29.55,-37.04,59.11
CashflowFinancingCashflow_qq,,97.50,-100.00,-50.00,,66.67,,-100.00,50.00,,-99900.00,99.90,12000.00,70.59,154.68,-88.78,-50.00,8248.28,-100.62,-4786.67,142.97,225.08,-225.29,85.35,59.04,2.60,205.33
CashflowFinancingCashflow_sq,,73.39,-68.42,-26.70,,83.76,,33.32,-6.88,,-24.48,-38.25,53.97,-33.39,-24.37,-46.55,-4.14,-10.16,60.34,-12.19,20.92,-8.04,-79.97,-4.86,53.62,5.68,22.06
CashflowShareCapitalCash,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowShareCapitalCash_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowShareCapitalCash_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowShareCapitalCash_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowShareCapitalCash_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,100000,,,,,,,,,,99800000,0,0,,,60700000,0,,,19600000,0,,,12200000,0,,
CashflowDividend_yy,,,,,-100.00,,,,,,,,,,-100.00,,,,,-67.71,,,,-37.76,,,
CashflowDividend_sy,,,,,-100.00,,,,,,,,,,-100.00,,,,,-74.36,,,,-62.37,,,
CashflowDividend_qq,,-100.00,,,,,,,,,,-100.00,,,,,-100.00,,,,-100.00,,,,-100.00,,
CashflowDividend_sq,,-100.00,,,,,,,,,,-99.94,,,,,-100.00,,,,-100.00,,,,-100.00,,
CashflowNetCashflow,-17800000,-6000000,-15400000,8200000,9200000,-11600000,6000000,15100000,34400000,-23300000,-125700000,29800000,37800000,-34800000,46200000,-43400000,22100000,-78500000,15700000,-7900000,20400000,-12300000,19100000,17200000,3900000,-2700000,5800000
CashflowNetCashflow_yy,,,,,151.69,-93.33,138.96,84.15,273.91,-100.86,-2195.00,97.35,9.88,-49.36,136.75,-245.64,-41.53,-125.57,-66.02,81.80,-7.69,84.33,21.66,317.72,-80.88,78.05,-69.63
CashflowNetCashflow_sy,,,,,40.81,-1.18,0.48,83.02,67.08,-8.10,86.10,89.60,76.19,-76.09,-2.80,32.93,85.18,-99.42,-43.24,51.55,-18.19,79.72,-31.68,-51.41,37.38,-11.62,50.17
CashflowNetCashflow_qq,,66.29,-156.67,153.25,12.20,-226.09,151.72,151.67,127.81,-167.73,-439.48,123.71,26.85,-192.06,232.76,-193.94,150.92,-455.20,120.00,-150.32,358.23,-160.29,255.28,-9.95,-77.33,-169.23,314.81
CashflowNetCashflow_sq,,34.60,-66.13,-118.52,53.37,94.43,-86.28,75.59,18.69,-27.81,22.27,14.43,95.41,-77.89,65.58,-53.40,132.93,-95.48,63.85,29.16,66.67,-2.18,-39.60,-31.58,97.18,-15.99,18.08
